"response","time","response.1.titer"
1,70,11952.2860933439
1,70.5,11909.8266835083
1,71,11867.8165819385
1,71.5,11826.2479197817
1,72,11785.1130197758
1,72.5,11744.4043902941
1,73,11704.1147196131
1,73.5,11664.2368703961
1,74,11624.7638743819
1,74.5,11585.6889272698
1,75,11547.0053837925
1,75.5,11508.7067529687
1,76,11470.7866935281
1,76.5,11433.2390095006
1,77,11396.0576459638
1,77.5,11359.2366849413
1,78,11322.770341446
1,78.5,11286.652959662
1,79,11250.8790092602
1,79.5,11215.4430818409
1,80,11180.3398874989
1,80.5,11145.5642515071
1,81,11111.1111111111
1,81.5,11076.9755124342
1,82,11043.1526074847
1,82.5,11009.6376512636
1,83,10976.425998969
1,83.5,10943.5131032917
1,84,10910.8945117996
1,84.5,10878.5658644084
1,85,10846.5228909328
1,85.5,10814.7614087175
1,86,10783.2773203438
1,86.5,10752.0666114094
1,87,10721.1253483779
1,87.5,10690.449676497
1,88,10660.0358177805
1,88.5,10629.8800690547
1,89,10599.9788000636
1,89.5,10570.3284516338
1,90,10540.9255338946
1,90.5,10511.7666245527
1,91,10482.8483672192
1,91.5,10454.1674697863
1,92,10425.7207028537
1,92.5,10397.5048982007
1,93,10369.5169473043
1,93.5,10341.7537999004
1,94,10314.2124625879
1,94.5,10286.8899974728
1,95,10259.7835208515
1,95.5,10232.890201933
1,96,10206.2072615966
1,96.5,10179.7319711858
1,97,10153.4616513362
1,97.5,10127.3936708367
1,98,10101.5254455221
1,98.5,10075.8544371976
1,99,10050.3781525921
1,99.5,10025.0941423417
1,100,10000
1,100.5,9975.09336107633
1,101,9950.37190209989
1,101.5,9925.8333397093
1,102,9901.47542976674
1,102.5,9877.2959664959
1,103,9853.29278164293
1,103.5,9829.46374365981
1,104,9805.8067569092
1,104.5,9782.31976089037
1,105,9759.00072948533
1,105.5,9735.84767022471
1,106,9712.85862357264
1,106.5,9690.03166223019
1,107,9667.36489045664
1,107.5,9644.85644340824
1,108,9622.50448649376
1,108.5,9600.30721474639
1,109,9578.26285221151
1,109.5,9556.36965134993
1,110,9534.62589245592
1,110.5,9513.02988308988
1,111,9491.57995752499
1,111.5,9470.27447620757
1,112,9449.11182523068
1,112.5,9428.09041582063
1,113,9407.20868383597
1,113.5,9386.46508927864
1,114,9365.85811581694
1,114.5,9345.38627031996
1,115,9325.04808240314
1,115.5,9304.84210398471
1,116,9284.76690885259
1,116.5,9264.82109224159
1,117,9245.00327042048
1,117.5,9225.31208028885
1,118,9205.74617898323
1,118.5,9186.30424349251
1,119,9166.98497028211
1,119.5,9147.78707492696
1,120,9128.70929175277
1,120.5,9109.75037348554
1,121,9090.90909090909
1,121.5,9072.18423253029
1,122,9053.57460425185
1,122.5,9035.07902905251
1,123,9016.69634667432
1,123.5,8998.42541331695
1,124,8980.26510133875
1,124.5,8962.21429896442
1,125,8944.27190999916
1,125.5,8926.43685354904
1,126,8908.70806374748
1,126.5,8891.08448948774
1,127,8873.56509416114
1,127.5,8856.14885540095
1,128,8838.83476483184
1,128.5,8821.62182782462
1,129,8804.50906325624
1,129.5,8787.49550327494
1,130,8770.58019307029
1,130.5,8753.76219064817
1,131,8737.04056661038
1,131.5,8720.41440393895
1,132,8703.88279778489
1,132.5,8687.44485526139
1,133,8671.0996952412
1,133.5,8654.84644815831
1,134,8638.6842558136
1,134.5,8622.61227118454
1,135,8606.6296582387
1,135.5,8590.73559175116
1,136,8574.92925712544
1,136.5,8559.20985021826
1,137,8543.57657716761
1,137.5,8528.02865422442
1,138,8512.56530758749
1,138.5,8497.18577324175
1,139,8481.88929679971
1,139.5,8466.67513334603
1,140,8451.54254728517
1,140.5,8436.49081219196
1,141,8421.51921066519
1,141.5,8406.62703418397
1,142,8391.81358296689
1,142.5,8377.07816583391
1,143,8362.42010007091
1,143.5,8347.83871129682
1,144,8333.33333333333
1,144.5,8318.90330807703
1,145,8304.547985374
1,145.5,8290.26672289678
1,146,8276.05888602368
1,146.5,8261.92384772028
1,147,8247.86098842322
1,147.5,8233.86969592618
1,148,8219.94936526786
1,148.5,8206.09939862218
1,149,8192.3192051904
1,149.5,8178.60820109531
1,150,8164.96580927726
1,150.5,8151.39145939222
1,151,8137.88458771159
1,151.5,8124.44463702388
1,152,8111.07105653813
1,152.5,8097.76330178916
1,153,8084.52083454443
1,153.5,8071.34312271262
1,154,8058.2296402538
1,154.5,8045.1798670913
1,155,8032.19328902499
1,155.5,8019.26939764625
1,156,8006.40769025436
1,156.5,7993.60766977431
1,157,7980.86884467622
1,157.5,7968.19072889596
1,158,7955.5728417573
1,158.5,7943.01470789538
1,159,7930.51585718144
1,159.5,7918.07582464896
1,160,7905.69415042095
1,160.5,7893.37037963858
1,161,7881.10406239101
1,161.5,7868.89475364634
1,162,7856.74201318386
1,162.5,7844.64540552736
1,163,7832.60449987957
1,163.5,7820.61887005775
1,164,7808.6880944303
1,164.5,7796.8117558545
1,165,7784.98944161523
1,165.5,7773.22074336472
1,166,7761.50525706333
1,166.5,7749.84258292128
1,167,7738.23232534137
1,167.5,7726.67409286256
1,168,7715.1674981046
1,168.5,7703.71215771345
1,169,7692.30769230769
1,169.5,7680.95372642569
1,170,7669.6498884737
1,170.5,7658.39581067484
1,171,7647.19112901873
1,171.5,7636.03548321213
1,172,7624.92851663023
1,172.5,7613.86987626881
1,173,7602.85921269706
